"","source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"1","NK exhausted","NK exhausted","GZMA","F2R",0.000206729919279166,35.6,0.975320069588888,5,3.1529703117558,1,2.52912245359317,5,0.956808629688765,43,0,124
"2","NK exhausted","Plasma","CCL5","SDC1",0.000605798065650355,33.2,0.982621310917147,2,2.11536981449158,17,3.66753015436102,1,0.968759191191231,22,0,124
"3","NK exhausted","NK exhausted","HLA-B","KLRD1",0.000834342138170028,46.6,0.57979499738312,90,2.59963658527839,6,2.17805321604626,8,0.984335179275831,5,0,124
"4","NK exhausted","NK exhausted","CLEC2B","KLRF1",0.00100185642797961,34.8,0.920186187468151,19,3.10198133007436,2,2.59455341651454,4,0.967829064735509,25,0,124
"5","Plasma","NK exhausted","HLA-B","KLRD1",0.00135546850812551,66.4,0.418840877556269,157,2.10721007592023,18,1.54997305344436,27,0.981620290177799,6,0,124
"6","NK exhausted","NK exhausted","CLEC2D","KLRB1",0.00156334893808305,35.8,0.915482749210926,20,2.88492178651164,4,2.77895308316807,3,0.966594987317699,28,0,124
"7","NK exhausted","NK exhausted","HLA-E","KLRC2_KLRD1",0.00161350440644499,45,0.651489807631586,74,2.43694783240686,10,2.17065308768061,9,0.977987816110833,8,0,124
"8","NK exhausted","NK exhausted","SPON2","ITGB2",0.00213692224871348,36.2,0.964212419733179,11,3.04337189871574,3,2.48735382979048,6,0.960627304144137,37,0,124
"9","NK exhausted","NK exhausted","HLA-E","KLRC3_KLRD1",0.00213692224871348,46.2,0.651436634639894,75,2.41934210286434,11,2.08746975151305,11,0.97758393403601,10,0,124
"10","NK exhausted","NK exhausted","B2M","KLRD1",0.00276051373091593,51.4,0.535454887490874,115,2.63311226798997,5,2.04448966477295,12,0.986752156804672,1,0,124
"11","NK exhausted","NK exhausted","HLA-E","KLRC1_KLRD1",0.00433996481323539,47.6,0.651401740505292,76,2.34278863292808,14,2.04428958142464,13,0.97702558080675,11,0,124
"12","Plasma","NK exhausted","CD59","CD2",0.00658031780793267,51.2,0.852459533617066,29,1.64941884454627,41,2.00258351750479,14,0.952384210683969,48,0,124
"13","NK exhausted","NK exhausted","B2M","CD247",0.00904004344816219,53.4,0.535533670113461,114,2.51644472046678,8,1.81082784280098,18,0.985454608678379,3,0,124
"14","NK exhausted","NK exhausted","SPON2","ITGB1",0.00910734442690831,43.2,0.877545196198075,26,2.3590009326303,12,2.09263158486533,10,0.954926658753059,44,0,124
"15","Plasma","NK exhausted","ICAM3","ITGAL",0.00936679397595829,82.6,0.600615392855104,88,1.05788087015143,76,1.14960285060854,48,0.940420990668983,77,0,124
"16","NK exhausted","NK exhausted","HLA-E","KLRK1",0.0105782470437696,48.6,0.65154592211544,73,2.35407720184705,13,1.77297256129154,19,0.973657496292059,14,0,124
"17","NK exhausted","NK exhausted","LGALS1","PTPRC",0.0122754554763449,55.6,0.560658496262844,103,2.10210375266933,20,1.95988396873657,15,0.972186512877967,16,0,124
"18","Plasma","Plasma","IGHG1_IGLC1","FCGR2B",0.0126730526759482,85.4,0.892096806611632,24,0.034785445223426,226,3.32626487891223,2,0.950884950470897,51,0,124
"19","NK exhausted","NK exhausted","ITGB2","CD226",0.0161729600016191,54.6,0.9753284132441,4,2.46918201416895,9,1.69937413800435,22,0.923497245929251,114,0,124
"20","Plasma","Plasma","IGF1","INSR",0.0181304114928053,121.6,0.979644122906567,3,0.0267119281199087,230,1.0874175741657,56,0.877069152469643,195,0,124
"21","Plasma","NK exhausted","GNAS","PTGDR",0.0205761316872428,97,0.568513658370332,100,0.950768500144501,96,0.957569507075748,71,0.931281549172883,94,0,124
"22","Plasma","NK exhausted","BTLA","CD247",0.020782992162184,61,0.993149223990844,1,2.01955149615465,24,1.85101842491297,16,0.910841371517847,140,0,124
"23","Plasma","NK exhausted","B2M","KLRD1",0.020782992162184,62.2,0.463180987448516,142,2.10571053603041,19,1.68353660471767,24,0.985770197893289,2,0,124
"24","Plasma","NK exhausted","CD48","CD2",0.0215200979374014,88,0.396813644251845,168,1.62197806770338,44,1.09224449814742,55,0.952331509719781,49,0,124
"25","Plasma","NK exhausted","B2M","CD247",0.0230585786150198,65.6,0.463249136257643,141,1.98904298850722,25,1.4498747827457,34,0.984377995332369,4,0,124
"26","NK exhausted","NK exhausted","GZMB","IGF2R",0.0245166195148164,46,0.81777602026782,34,2.54179502609287,7,2.40609477032587,7,0.948995450698236,58,0,124
"27","Plasma","NK exhausted","LRPAP1","SORL1",0.0248941037747949,82,0.647211162421874,78,1.28868426043102,62,1.09606490992032,54,0.932333300699508,92,0,124
"28","Plasma","Plasma","MDK","SDC1",0.0261532778656864,101.2,0.966828237251767,10,0.0324846206285866,228,1.57399385741988,26,0.92184129917702,118,0,124
"29","Plasma","NK exhausted","LGALS1","PTPRC",0.0261532778656864,69.2,0.427651977798056,153,1.9452695296067,26,1.72935882341477,20,0.968281584500596,23,0,124
"30","Plasma","NK exhausted","B2M","KLRC2",0.0263726825732867,77.2,0.463743226504528,139,1.3629724646346,56,1.07657201108878,58,0.977882813751231,9,0,124
"31","NK exhausted","NK exhausted","HMGB1","HAVCR2",0.0300187856965689,65.6,0.694641406019373,59,1.69923144678026,38,1.17315407524232,47,0.948518811222846,60,0,124
"32","NK exhausted","NK exhausted","CD58","CD2",0.0323288746832669,61.2,0.925854905666216,18,2.27370067949109,15,1.54866995768252,28,0.921048394427921,121,0,124
"33","Plasma","NK exhausted","FAM3C","CLEC2D",0.0372792832109826,100.2,0.571995877490714,97,0.928399889650094,100,1.03978586376784,64,0.922645836659428,116,0,124
"34","NK exhausted","NK exhausted","TGFB1","ITGB1",0.0383840167817973,62.4,0.74283276770432,52,1.65622650908512,40,1.46957612136728,32,0.946297751346133,64,0,124
"35","NK exhausted","NK exhausted","S100A9","ITGB2",0.0393522127436056,58.8,0.849234168027423,30,2.08662680430372,21,1.72244125172614,21,0.928920193058994,98,0,124
"36","NK exhausted","NK exhausted","CD99","CD81",0.0407130990170692,57.2,0.806277186018332,40,1.87337981671979,28,1.52176193871818,29,0.94621953464146,65,0,124
"37","NK exhausted","NK exhausted","SPON2","ITGAM",0.0431943357774932,70.6,0.963857435176344,12,2.03729665925558,23,1.48721519622642,31,0.900820388797429,163,0,124
"38","NK exhausted","NK exhausted","S100A8","ITGB2",0.0431943357774932,62.8,0.849156991702407,31,2.0656376478869,22,1.65418802328527,25,0.923655241681857,112,0,124
"39","Plasma","NK exhausted","MDK","SORL1",0.0441655697604692,69.4,0.968663482762939,9,1.29271420217404,61,1.46596610600199,33,0.921213003748004,120,0,124
"40","Plasma","NK exhausted","ICAM4","ITGB2",0.045673859886748,81.6,0.971619120272611,6,1.72068566171591,34,1.43653156765782,36,0.865476799540775,208,0,124
"41","Plasma","NK exhausted","ICAM2","ITGAL_ITGB2",0.04603672902289,93.8,0.518160209285283,121,1.38257772362225,54,1.03542995126656,65,0.926673552938059,105,0,124
"42","Plasma","NK exhausted","ICAM2","ITGAM_ITGB2",0.0563677023825944,104.2,0.524235510527955,120,1.21296840885418,66,0.853044041274747,85,0.918373240587743,126,0,124
"43","NK exhausted","NK exhausted","SELPLG","ITGB2",0.0599574108840226,56,0.770147679104654,45,2.13241087277906,16,1.68913693783233,23,0.941495015261147,72,0,124
"44","NK exhausted","NK exhausted","HLA-A","CD8A",0.0599574108840226,68.2,0.657101691804123,72,1.54802990038641,45,1.23156895806272,44,0.949650716065703,56,0,124
"45","NK exhausted","NK exhausted","B2M","KLRC2",0.0608746446944873,61,0.536104857283758,112,1.89037419659416,27,1.43752507114406,35,0.9793976835895,7,0,124
"46","Plasma","NK exhausted","HLA-E","KLRC2_KLRD1",0.0664763130764053,86.2,0.347496628068505,182,1.72649322763247,33,0.950408588181122,74,0.970103104210116,18,0,124
"47","NK exhausted","NK exhausted","CD48","CD2",0.0711622400799748,62.4,0.601811025117974,87,1.86646996948594,29,1.34473602408041,37,0.960942549079793,35,0,124
"48","Plasma","Plasma","APP","NCSTN",0.0803841764396583,195,0.549614127494181,108,0.00912644427287924,241,0.190438070262104,200,0.701622338928973,302,0,124
"49","Plasma","Plasma","HGF","SDC1",0.0812850686396533,120.8,0.961133248837713,13,0.0269958089848774,229,1.19262565083285,45,0.879026529498735,193,0,124
"50","NK exhausted","NK exhausted","HLA-DPB1","LAG3",0.0824570941584456,72.2,0.807257402110834,39,1.73924584069565,32,1.33247839964489,38,0.917476427444441,128,0,124
"51","NK exhausted","Plasma","CCL4","GPRC5D",0.0825794809987035,61.6,0.969613384848566,8,1.44326224164584,49,1.8378956745786,17,0.924278718048923,110,0,124
"52","NK exhausted","NK exhausted","HLA-E","CD8A",0.0849645683258412,81,0.648090764433044,77,1.44144246441625,51,0.931324335210281,79,0.94105825153193,74,0,124
"53","Plasma","NK exhausted","MDK","ITGA4_ITGB1",0.0954591989408701,90.8,0.746298313435126,50,0.596749772578754,140,1.25976433249771,43,0.92987415530094,97,0,124
"54","Plasma","NK exhausted","B2M","KLRC1",0.0954591989408701,88.2,0.463626708247885,140,1.17465406567704,73,0.823844998576832,91,0.973867195370076,13,0,124
